customer_id,customer_name,city,state,email,phone
1,Chakradhar Kumer,Hajipur,Mizoram,xdara@example.org,6682281708
2,Champak Ghosh,Gudivada,Bihar,riya86@example.org,+914769914724
3,Megha Chada,Katihar,Andhra Pradesh,mrout@example.org,00045480614
4,Raghav Chada,Kolhapur,Karnataka,lmammen@example.net,9911592202
5,Bhanumati Bains,Katni,Chhattisgarh,bahadurjit43@example.org,+912125151824
6,Sanaya Kunda,Lucknow,Jharkhand,sagardamyanti@example.net,04512078336
7,Upadhriti De,Ludhiana,Madhya Pradesh,darika50@example.org,05679520954
8,Aadhya Apte,Bihar Sharif,Maharashtra,varenya85@example.net,6234047909
9,Forum Bhalla,Sikar,West Bengal,geetikadugar@example.com,+913403409675
10,Saksham Rai,Thoothukudi,Bihar,veer18@example.org,+914744364851
11,Amaira Sidhu,Thiruvananthapuram,Rajasthan,cchandran@example.com,4145428083
12,Ira Vora,Eluru,Jharkhand,kuruvillamatthew@example.net,+911824043905
13,Upma Sahni,Avadi,Manipur,gdatta@example.net,3196982002
14,Yadavi Chanda,Siwan,Manipur,advaithvarughese@example.org,3117339401
15,Jalsa Ganesan,Karnal,Meghalaya,cmitra@example.org,6191284563
16,Qadim Misra,Kumbakonam,Rajasthan,raghav07@example.com,+915667332703
17,Kai Hayer,Berhampur,Tripura,chadhawarjas@example.net,2568697121
18,Tanay Goel,Nadiad,Sikkim,agatesathvik@example.net,6010898546
19,Aditya Bhatia,Raebareli,Nagaland,vacharya@example.org,05239293332
20,Victor Rai,Bongaigaon,Arunachal Pradesh,zbains@example.net,04887564860
21,Vrinda Bhandari,Bidhannagar,Gujarat,lavanyarajagopalan@example.org,+918101556154
22,Charita Muni,Coimbatore,Tripura,siya56@example.org,03292090955
23,Vaishnavi Hegde,Firozabad,Odisha,zashil05@example.com,2199735150
24,Yachana Anne,Malegaon,Sikkim,balavrishti@example.org,00601610137
25,Pushti Borde,Shahjahanpur,Mizoram,pdara@example.net,2421865409
26,Leela Dua,Aurangabad,Andhra Pradesh,sarasanghvi@example.com,00535147596
27,Tripti Sha,Kalyan-Dombivli,Manipur,ashroff@example.net,07928736902
28,Tristan Sekhon,Aurangabad,Assam,santarjun@example.com,+919818417700
29,Udarsh Ramakrishnan,Fatehpur,Andhra Pradesh,isaacsem@example.com,02934005061
30,Upma Patla,Hubli–Dharwad,West Bengal,ekalingasrivastava@example.com,9387811168
31,Shravya Panchal,Tirunelveli,Haryana,samakshsoni@example.net,+913443215069
32,Aditya Kanda,Bathinda,Gujarat,bimalamitra@example.com,+915744196732
33,Jagrati Bhakta,Medininagar,Uttarakhand,lguha@example.com,00113843553
